店舗名称,エリア,券種,place_name,formatted_address,lat,lng,category
インテリアクラヤ,飯塚,digital,（株）クラヤ インテリア,〒820-0041 福岡県飯塚市飯塚１２−１２−９,33.6370942,130.6861141,生活雑貨
中央モータース,片島,digital,中央モータース,〒820-0068 福岡県飯塚市片島２丁目３−８,33.6455174,130.6844872,店舗
レストラン明治屋,柏の森,digital,レストラン明治屋,〒820-0011 福岡県飯塚市柏の森４３−７,33.6435302,130.7062911,飲食店
合屋電器店,菰田西,digital,Panasonic shop 合屋電器店,〒820-0017 福岡県飯塚市菰田西２丁目４−９,33.6293463,130.6874644,生活雑貨
手づくりケーキラ・パレット,新飯塚,digital,パティスリー ラ・パレット,〒820-0005 福岡県飯塚市新飯塚６−１ 花宅ビル,33.6434746,130.6932343,ベーカリー
グーテンターク,西町,digital,グーテンターク,〒820-0043 福岡県飯塚市西町７−４３,33.6411553,130.6775953,飲食店
ミスターマックス飯塚花瀬店,横田,digital,ミスターマックス 飯塚花瀬店,〒820-0044 福岡県飯塚市横田５８１−６,33.6403661,130.6674767,ドラッグストア
倉掛米穀店,飯塚,digital,倉掛米穀店,〒820-0041 福岡県飯塚市飯塚１２−２０,33.63686,130.6849358,飲食店
ドコモショップ飯塚店,片島,digital,ドコモショップ飯塚店,〒820-0068 福岡県飯塚市片島３丁目１６−１５,33.6465029,130.6778703,店舗
モスバーガー飯塚かやの森店,柏の森,digital,モスバーガー飯塚かやの森店,〒820-0011 福岡県飯塚市柏の森７−１,33.6454146,130.7109203,カフェ
サーティワンアイスクリーム ゆめタウン飯塚店,菰田西,digital,サーティワンアイスクリーム ゆめタウン飯塚店,〒820-0017 福岡県飯塚市菰田西３丁目６−１,33.632598,130.685579,ベーカリー
赤崎牛ダイニング リヤン,新飯塚,digital,"赤崎牛直営店“le lien""Charcoal Restaurant",〒820-0005 福岡県飯塚市新飯塚７−２２,33.642606,130.693343,飲食店
居酒屋 たーぶる,西町,digital,居食屋 たーぶる,〒820-0043 福岡県飯塚市西町７−１２,33.6406467,130.6789132,飲食店
みそらぼ,横田,digital,MisoLabo みそらぼ,〒820-0044 福岡県飯塚市横田５１５−１ ラグエクリュA 3号,33.6397109,130.6700203,飲食店
餃子とサワー 月光,飯塚,digital,餃子とサワー月光,〒820-0041 福岡県飯塚市飯塚３−３,33.6385362,130.6872746,飲食店
Ｈｉｙｏｒｉ,片島,digital,Hiyori（パドドゥ・ル・コトブキ新館）,〒820-0068 福岡県飯塚市片島１丁目８−２０,33.6433792,130.676695,その他
もつ鍋 やじろべえ飯塚店,柏の森,digital,もつ鍋 やじろべえ 飯塚店,〒820-0011 福岡県飯塚市柏の森５１６−２,33.6402209,130.6988621,バー
庄屋ゆめタウン飯塚店,菰田西,digital,庄屋 ゆめタウン飯塚店,〒820-0017 福岡県飯塚市菰田西３丁目６−１ ゆめタウン飯塚 2F,33.6325403,130.6852944,飲食店
のがみプレジデントホテル 中国料理のがみ大飯店,新立岩,digital,中国料理 のがみ大飯店,〒820-0004 福岡県飯塚市新立岩１２−３７,33.64584019999999,130.690451,飲食店
ノエビア新飯塚販売会社,西町,digital,ノエビア 新飯塚営業所,〒820-0043 福岡県飯塚市西町４−１３,33.6397116,130.6796983,店舗
（有）建築工房やました屋,横田,digital,tatta 建築工房やました屋,〒820-0044 福岡県飯塚市横田５８９−１,33.64068,130.6691207,その他
肉の神戸屋,飯塚,digital,肉の神戸屋,〒820-0042 福岡県飯塚市本町１２−２０ 東町商店街内,33.6369194,130.6849213,飲食店
三星石油,片島,digital,ENEOS 飯塚 SS (三星石油),〒820-0068 福岡県飯塚市片島２丁目４−１１,33.6462054,130.6842048,ガソリンスタンド
酒菜よし葉,柏の森,digital,酒菜 よし葉,〒820-0011 福岡県飯塚市柏の森６４９−３,33.6399199,130.6948172,飲食店
手づくりパン工房スピカ,菰田西,digital,手づくりパン工房 スピカ,〒820-0017 福岡県飯塚市菰田西３丁目１−４,33.6317289,130.6890515,ベーカリー
のがみプレジデントホテル 和食処 日本海,新立岩,digital,和食処 日本海,〒820-0004 福岡県飯塚市新立岩１２−３７,33.6456501,130.6901427,飲食店
ビアレストラン Ｂーｓｐｏｔ,西町,digital,ビアレストラン・ビースポット,〒820-0043 福岡県飯塚市西町２−５９ サテライトマンション ２０１,33.6400326,130.680848,バー
龍王ガス,横田,digital,龍王ガス(株) 本社,〒820-0044 福岡県飯塚市横田８２６−３,33.6498867,130.669893,その他
学生服のタナカ,飯塚,digital,学生服のタナカ,〒820-0041 福岡県飯塚市飯塚５−３３,33.6360658,130.6866556,衣料品店
室井酒店,片島,digital,室井酒店,〒820-0068 福岡県飯塚市片島２丁目２１−２２,33.647332,130.68332,店舗
カラオケ＆カフェ ＲＥＶＯ,柏の森,digital,KARAOKE & CAFE REVO,〒820-0011 福岡県飯塚市柏の森56番１１,33.6437208,130.7036848,その他
スタジオマリオ ゆめタウン飯塚店,菰田西,digital,スタジオマリオ 飯塚・ゆめタウン飯塚店,〒820-0017 福岡県飯塚市菰田西３丁目６−１ ゆめタウン飯塚 2階,33.632117,130.685078,その他
のがみプレジデントホテル,新立岩,digital,のがみプレジデントホテル,〒820-0004 福岡県飯塚市新立岩１２−３７,33.6456476,130.6901457,宿泊施設
山野愛子どろんこ美容＆Relax Plus,西町,digital,山野愛子どろんこ美容飯塚＆Relax Plus,〒820-0043 福岡県飯塚市西町４−５３ アルカビル 1F,33.6403176,130.6805367,美容室
あぐらの離れ,芳雄町,digital,海鮮居酒屋 あぐらの離れ,〒820-0018 福岡県飯塚市芳雄町１−１１,33.6418044,130.6933319,飲食店
高取金物店,飯塚,digital,高取金物店,〒820-0041 福岡県飯塚市飯塚１１−２３,33.63675,130.685787,店舗
リンガーハット飯塚水江店,片島,digital,リンガーハット 飯塚水江店,〒820-0068 福岡県飯塚市片島２丁目５−２,33.6520253,130.6834433,飲食店
ワイズキッチン,柏の森,digital,Ｙ’ｓキッチン,〒820-0011 福岡県飯塚市柏の森５３２−３,33.6410116,130.698431,飲食店
Zoff Marche ゆめタウン飯塚,菰田西,digital,Zoff Marche ゆめタウン飯塚店,〒820-0017 福岡県飯塚市菰田西３丁目６−１ ゆめタウン飯塚 2F,33.6325403,130.6852944,健康・医療
古谷金物店,新立岩,digital,（株）古谷金物店,〒820-0004 福岡県飯塚市新立岩１３−８,33.6450558,130.6892881,店舗
コトツキ、,花瀬,digital,コトツキ、,〒820-0045 福岡県飯塚市花瀬１４８−２,33.6429678,130.6592291,飲食店
スーパーマーケットASO新飯塚店,芳雄町,digital,スーパー麻生 新飯塚店,〒820-0018 福岡県飯塚市芳雄町２−１９５２,33.6419224,130.6929919,飲食店
田中糸店,飯塚,digital,田中糸店,〒820-0041 福岡県飯塚市飯塚１２−１１,33.637064,130.685804,店舗
手造りバーガーショップ レイダック,片島,digital,手造りバーガーショップ RAY DUCK,〒820-0068 福岡県飯塚市片島２丁目８−９,33.6512294,130.6834551,飲食店
タイヤガーデンBーWAVE,川島,digital,タイヤガーデン B-WAVE店,〒820-0002 福岡県飯塚市川島２３１−６,33.6581296,130.6938437,自動車修理
筑豊葬祭飯塚本社斎場,菰田西,digital,筑豊葬祭 飯塚本社斎場,〒820-0017 福岡県飯塚市菰田西３丁目１７−８,33.6360891,130.6898772,葬儀場
アルソア Ｄｏ,立岩,digital,アルソア Do(ドゥ),〒820-0003 福岡県飯塚市立岩１５０６−１２,33.6484969,130.6911146,店舗
ジャーマンベーカリー飯塚花瀬店,花瀬,digital,ジャーマンベーカリー 花瀬店,〒820-0045 福岡県飯塚市花瀬７１−１,33.6411598,130.6615121,飲食店
上島珈琲店飯塚病院店,芳雄町,digital,上島珈琲店 飯塚病院店,〒820-0018 福岡県飯塚市芳雄町３−８３ 飯塚病院 1F,33.642493,130.691437,カフェ
だがしのお店だがシステム,飯塚,digital,だがシステム,〒820-0041 福岡県飯塚市飯塚１２−２０,33.6369308,130.6848722,飲食店
ロイヤルホスト飯塚店,片島,digital,ロイヤルホスト飯塚店,〒820-0068 福岡県飯塚市片島１丁目７−２９,33.6425615,130.6768155,飲食店
グッデイ飯塚店,川島,digital,ホームセンターグッデイ 飯塚店,〒820-0002 福岡県飯塚市川島６９６,33.6537049,130.6880463,衣料品店
筑豊葬祭セレモニーヴィラ飯塚,菰田西,digital,筑豊葬祭 セレモニー ヴィラ 飯塚,〒820-0017 福岡県飯塚市菰田西３丁目１７−４,33.6358352,130.6896951,葬儀場
焼肉王城飯塚店,立岩,digital,焼肉王城飯塚店,〒820-0003 福岡県飯塚市立岩１１２６−８,33.6457882,130.6973007,飲食店
セブンイレブン飯塚花瀬店,花瀬,digital,セブン-イレブン 飯塚花瀬店,〒820-0045 福岡県飯塚市花瀬１７９−１,33.6414294,130.6593309,コンビニ
サンエトワール新飯塚店,芳雄町,digital,サンエトワール新飯塚店,〒820-0018 福岡県飯塚市芳雄町４−２０,33.6414337,130.6930411,ベーカリー
濃厚生乳ソフトクリーム専門店だがソフ,飯塚,digital,だがソフ（濃厚生乳ソフトクリーム専門店）,〒820-0041 福岡県飯塚市飯塚１３−２３,33.6366368,130.6851286,飲食店
アントス（株）,上三緒,digital,アントス（株）,〒820-0013 福岡県飯塚市上三緒１７２−１,33.6213643,130.717443,その他
arukーある暮らしー,川津,digital,aruk cafe（アルクカフェ),〒820-0067 福岡県飯塚市川津２７１−２,33.6505855,130.6790493,カフェ
TeaWayゆめタウン飯塚店,菰田西,digital,TeaWay ティーウェイ ゆめタウン飯塚店,〒820-0040 福岡県飯塚市菰田西３丁目６−１ ゆめタウン飯塚 1階,33.6322249,130.685502,飲食店
クイックショット,立岩,digital,【出張PCクリニック】クイックショット,〒820-0003 福岡県飯塚市立岩１２４４−１６ 1244番地16,33.6504356,130.6964265,その他
ゆめマート花瀬,花瀬,digital,ゆめマート 花瀬,〒820-0045 福岡県飯塚市花瀬１６８−２,33.6421063,130.6582171,飲食店
花和,芳雄町,digital,花和,〒820-0018 福岡県飯塚市芳雄町１８−２８,33.6390043,130.6921515,花屋
天喜,飯塚,digital,天喜,〒820-0041 福岡県飯塚市飯塚１１−８,33.636531,130.68599,飲食店
佐藤商店,上三緒,digital,（有）佐藤商店,〒820-0013 福岡県飯塚市上三緒１−４５,33.61779180000001,130.7181337,生活雑貨
アールテックシステム株式会社,川津,digital,アールテックシステム株式会社,〒820-0067 福岡県飯塚市川津３６９−４,33.64772,130.6781475,建設・工事
トップワンカフェ,菰田西,digital,TOP ONE CAFE（トップワンカフェ）,〒820-0017 福岡県飯塚市菰田西３丁目１４−２７,33.6329333,130.6847572,カフェ
寺子屋 ZEN,立岩,digital,寺子屋ZEN,〒820-0003 福岡県飯塚市立岩１３４７−１,33.6478886,130.6942962,その他
居酒屋味坊,東徳前,digital,味坊,〒820-0032 福岡県飯塚市東徳前２０−３０ 金澤ビル,33.635992,130.679265,飲食店
パンセ アミエ店,芳雄町,digital,（株）パンセ アミエ店,〒820-0018 福岡県飯塚市芳雄町８−１８２９−１,33.6403391,130.692609,美容室
ともや玩具店,飯塚,digital,ともや玩具店,〒820-0041 福岡県飯塚市飯塚１２−１４,33.6370358,130.6855536,店舗
しらゆり会館飯塚・上三緒会場,上三緒,digital,しらゆり会館上三緒斎場,〒820-0013 福岡県飯塚市上三緒８７１−９,33.6249639,130.7034243,葬儀場
アンコルド パン,川津,digital,パン工房 Encore du Pain（アンコル・ド・パン）,〒820-0067 福岡県飯塚市川津１９４−２,33.6530483,130.6798853,ベーカリー
ニトリデコホーム ゆめタウン飯塚店,菰田西,digital,ゆめタウン飯塚,〒820-0017 福岡県飯塚市菰田西３丁目６−１,33.6320873,130.6850743,shopping_mall
ツルハドラッグ新飯塚店,立岩,digital,ツルハドラッグ 新飯塚店,〒820-0003 福岡県飯塚市立岩964番32,33.6439725,130.696343,ドラッグストア
居酒屋二代目きんぐ,東徳前,digital,居酒屋きんぐ,〒820-0032 福岡県飯塚市東徳前９−６,33.6349536,130.6818628,飲食店
ローソン飯塚病院店,芳雄町,digital,ローソン 飯塚病院店,〒820-0018 福岡県飯塚市芳雄町３−８３,33.6426526,130.6921453,コンビニ
和風ダイニングとし,飯塚,digital,とし,〒820-0041 福岡県飯塚市飯塚５−４０,33.636758,130.686551,飲食店
スーパーセンタートライアル上三緒店,上三緒,digital,スーパーセンタートライアル上三緒店,〒820-0013 福岡県飯塚市上三緒１−７,33.6207046,130.7192382,ドラッグストア
メガネのアイ・ルック,川津,digital,メガネのアイ・ルック,〒820-0067 福岡県飯塚市川津４０９−２ コスモ8,33.647985,130.674524,健康・医療
パスタトピザ ゆめタウン飯塚店,菰田西,digital,PASTA to PIZZA ゆめタウン飯塚店,〒820-0017 福岡県飯塚市菰田西３丁目６−１ ゆめタウン飯塚 2階レストラン街,33.6300379,130.6855612,飲食店
フードウェイ新飯塚店,立岩,digital,フードウェイ 新飯塚店,〒820-0003 福岡県飯塚市立岩964番地32,33.644149,130.6962701,飲食店
アベタ・ソレイユ/ヴァーグ,本町,digital,アベタ本町店,〒820-0042 福岡県飯塚市本町２−１９,33.6399015,130.6862332,衣料品店
R－GARDEN+,吉原町,digital,R-GARDEN+,〒820-0040 福岡県飯塚市吉原町１１−１,33.6407525,130.6858977,カフェ
ジーンズショップナカムラ,飯塚,digital,ジーンズショップ ナカムラ,〒820-0041 福岡県飯塚市飯塚１２−２２,33.63700490000001,130.6849193,衣料品店
ふらんす料理 平野,上三緒,digital,ふらんす料理 平野,〒820-0013 福岡県飯塚市上三緒４４３−１４６,33.6279227,130.7157935,飲食店
パティスリー エスポワール,川津,digital,Patisserie Espoir(パティスリーエスポワール),〒820-0067 福岡県飯塚市川津６３９−４,33.6525805,130.6794094,ベーカリー
パリミキ ゆめタウン飯塚店,菰田西,digital,パリミキ ゆめタウン飯塚店,〒820-0017 福岡県飯塚市菰田西３丁目６−１ ゆめタウン飯塚 ２階,33.6326269,130.6852821,健康・医療
飯塚瓦工業,鶴三緒,digital,飯塚瓦工業,〒820-0014 福岡県飯塚市鶴三緒１３３５−５,33.6278246,130.6956404,屋根工事
